id	filename	md5	size	state
f1e725b6-9d4f-4951-815a-8f8331d0f875	f1e725b6-9d4f-4951-815a-8f8331d0f875/935af8d4-1812-43ae-8b1b-3b70768ef097.rna_seq.augmented_star_gene_counts.tsv	c7b0b776d33dc6728b98c6ac84ebfc6b	4240537	validated
886a0679-0b46-4ebf-887e-d899cdf38caf	886a0679-0b46-4ebf-887e-d899cdf38caf/27b55138-e3e5-4427-a405-0213e6c406e5.rna_seq.augmented_star_gene_counts.tsv	20b12acb3c51ea0aa566009ac27cc153	4229035	validated
2c2078a4-b77d-4cb7-ab07-bacf57cdec28	2c2078a4-b77d-4cb7-ab07-bacf57cdec28/581c3cb6-8fa7-41f0-9744-96150e1e3cf4.rna_seq.augmented_star_gene_counts.tsv	64cf619f106eff2fea63cc9921fcfbab	4222996	validated
093a60dc-6e80-4c41-865b-4cd98384c6d5	093a60dc-6e80-4c41-865b-4cd98384c6d5/d6e206ad-dc02-414e-aa6c-67b9a8131373.rna_seq.augmented_star_gene_counts.tsv	af4aee8b5f4ccc1496f5340ea9f32113	4243391	validated
5c1e860e-a8c2-4dfc-aceb-d1bddb365edf	5c1e860e-a8c2-4dfc-aceb-d1bddb365edf/9b585d48-5e19-4605-b981-97ce3243a8f5.rna_seq.augmented_star_gene_counts.tsv	d6fcae6e3a7ce6cb3562bb826aa1eaec	4233662	validated
6e5885ee-adc4-4771-a7ec-9719dbd59081	6e5885ee-adc4-4771-a7ec-9719dbd59081/c21e91ee-2750-433c-a786-8e86559b7159.rna_seq.augmented_star_gene_counts.tsv	e296e757cf499952e2fb6ad86c808208	4234363	validated
199b6329-f615-4a35-b19e-f398532c8ccd	199b6329-f615-4a35-b19e-f398532c8ccd/a604ff34-8b5c-4ab9-8634-948a39cacb46.rna_seq.augmented_star_gene_counts.tsv	a73cfce2c43ffcf7d14fe17d1a5c15e1	4222753	validated
938c8a89-f60e-45d4-9055-6ef27f73d936	938c8a89-f60e-45d4-9055-6ef27f73d936/32467e4b-2c19-4b8f-b4da-0982058d7220.rna_seq.augmented_star_gene_counts.tsv	2c5c3ab9f51615d845dc3c9859df1dbf	4240120	validated
12f179d3-3dbc-41e5-9c8f-c1d170ffad55	12f179d3-3dbc-41e5-9c8f-c1d170ffad55/d6c4f961-ddb5-4413-aff8-bd9cc3fcc049.rna_seq.augmented_star_gene_counts.tsv	6673c6c4e77e56e1ab48f2d0499337f6	4234247	validated
a6d8ea07-b43b-491b-8acd-09f57c4b3a3b	a6d8ea07-b43b-491b-8acd-09f57c4b3a3b/963cb78b-6480-453f-9f62-d92c205f034a.rna_seq.augmented_star_gene_counts.tsv	5aa8832eed8b98eca4f475a01db826d3	4230042	validated
