"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","19/1492","61/9400",0.311475409836066,1.96237858743902,3.27531132907207,0.00211754423291719,0.0159505679367635,0.0159505679367635,"6523/7018/1811/261729/540/483/482/341208/340024/6569/6543/10568/4501/4502/30061/491/9843/4489/486",19
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","21/1492","70/9400",0.3,1.89008042895442,3.24660427424522,0.00213583103426748,0.0159505679367635,0.0159505679367635,"54657/1646/7367/79799/2953/1559/6799/54577/1571/9/54600/54576/54578/6822/7364/2944/54658/10/1577/7366/54490",21
"Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","27/1492","98/9400",0.275510204081633,1.73578814903978,3.18031080622934,0.00219357007096053,0.0160404811438989,0.0160404811438989,"776/5332/815/5582/810/483/90993/4881/482/112/9586/1589/111/5443/183/113/775/5138/5578/8912/491/3283/3164/747/148327/1583/6770",27
"Metabolism","Glycan biosynthesis and metabolism","hsa00601","Glycosphingolipid biosynthesis - lacto and neolacto series","11/1492","28/9400",0.392857142857143,2.47510532363079,3.39529733151498,0.00242467808492041,0.0168688620838011,0.0168688620838011,"2525/10317/2529/2528/124872/10331/2526/2651/6484/84002/8708",11
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","13/1492","36/9400",0.361111111111111,2.27509681263032,3.32932057010042,0.00245597155074448,0.0168688620838011,0.0168688620838011,"8972/5169/8908/80201/6476/55276/93432/3101/5836/5167/57733/11181/2645",13
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","13/1492","36/9400",0.361111111111111,2.27509681263032,3.32932057010042,0.00245597155074448,0.0168688620838011,0.0168688620838011,"442117/50614/11226/55808/10331/51301/27090/114805/8693/9245/79695/57452/51809",13
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","8/1492","17/9400",0.470588235294118,2.9648320454187,3.52185070014183,0.00249909067908165,0.0168688620838011,0.0168688620838011,"763/1373/760/767/765/762/377677/761",8
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","27/1492","99/9400",0.272727272727273,1.71825493541311,3.1204936276221,0.0025702634709766,0.0170219335530714,0.0170219335530714,"776/1837/1636/7040/5563/3678/785/8910/9254/489/4842/782/3569/7124/8515/7134/3655/6543/183/59285/775/7137/55799/3674/3673/6641/3679",27
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","26/1492","95/9400",0.273684210526316,1.72428390009877,3.08179929486352,0.00290035014670347,0.0188522759535725,0.0188522759535725,"8792/7040/6352/4050/3553/6372/3383/50617/2921/6374/54/3458/942/3569/7124/4312/525/3552/245973/1437/7097/4314/1493/941/3589/8741",26
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","28/1492","105/9400",0.266666666666667,1.68007149240393,3.04380221521434,0.00308513605918852,0.0194142722875328,0.0194142722875328,"776/1837/7040/3678/785/8910/9254/489/4842/782/5350/112/7124/8515/7134/3655/6543/111/183/59285/113/775/7137/55799/3674/3673/6641/3679",28
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","14/1492","41/9400",0.341463414634146,2.1513110573465,3.20894140121348,0.00309743375527588,0.0194142722875328,0.0194142722875328,"1139/2555/2558/2568/2893/55879/2561/2902/2556/2569/8973/2891/1137/2903",14
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","13/1492","37/9400",0.351351351351351,2.21360770958626,3.21265124924424,0.00324524234953888,0.0196913054681436,0.0196913054681436,"125/1644/3242/130/222/218/3081/131/5409/221/4128/7173/124",13
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecule (CAM) interaction","39/1492","160/9400",0.24375,1.53569034852547,2.96844996870948,0.00325383395200094,0.0196913054681436,0.0196913054681436,"5818/57689/10686/3383/9080/6614/84631/79679/1001/9075/23562/914/920/201633/84189/942/1365/4099/6382/9076/94030/9378/3655/100506658/9071/9073/26050/3384/25945/4685/29851/1493/80380/100132463/941/26285/139065/925/29126",39
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","30/1492","116/9400",0.258620689655172,1.62937968013312,2.9625524783807,0.00368903538004659,0.0219466342101077,0.0219466342101077,"776/2770/2793/54407/3760/5332/5582/283748/22941/10991/2893/6512/9762/112/2900/2902/123745/2899/111/2891/113/775/5578/6511/9229/6507/2903/50944/2784/255189",30
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","26/1492","97/9400",0.268041237113402,1.68873165473591,2.96153116171074,0.00394961974451593,0.0228185757549179,0.0228185757549179,"776/2770/51655/117/2793/3760/5332/815/5582/810/2893/4842/4544/112/2902/4543/6261/6263/111/2891/113/775/5578/8912/2903/2784",26
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","22/1492","78/9400",0.282051282051282,1.77699869388877,2.99298780196928,0.00396562142749286,0.0228185757549179,0.0228185757549179,"834/2770/729238/3553/6372/3678/712/810/722/6374/3569/725/7124/713/3552/114548/929/716/714/3592/718/715",22
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","45/1492","193/9400",0.233160621761658,1.46897442664852,2.85930609546596,0.00412484729305644,0.0229559468538774,0.0229559468538774,"5473/6366/2770/6352/6346/10563/6356/1232/408/2793/6372/6359/5332/3717/6375/10803/2921/56477/6374/5293/3579/653361/112/6355/1234/6363/25759/4283/1524/131890/3627/111/10344/2826/113/643/6351/729230/6370/6846/1237/6367/1236/6373/2784",45
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","38/1492","157/9400",0.24203821656051,1.52490565393351,2.8808225406282,0.00414142528466858,0.0229559468538774,0.0229559468538774,"834/7040/121601/5029/5732/114786/712/3717/815/343702/5468/203859/4035/948/489/6446/64284/6566/5031/84465/713/1524/55423/63982/1849/246/26762/714/2057/51454/1846/9023/84868/64805/6513/338382/89790/4776",38
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","20/1492","69/9400",0.289855072463768,1.82616466565645,2.9917064195625,0.00418569971124829,0.0229559468538774,0.0229559468538774,"776/1636/2770/117/5972/5732/134/5332/810/5139/4881/112/22802/111/154/183/775/155/1907/9635",20
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","27/1492","103/9400",0.262135922330097,1.65152658840678,2.88782749253698,0.00467507348448397,0.0252453968162134,0.0252453968162134,"1636/2770/7040/6352/3553/712/5332/356/916/917/5293/3458/10333/3569/7124/713/5522/7097/915/5521/5054/714/2769/3592/718/9630/919",27
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","24/1492","89/9400",0.269662921348315,1.69894870018375,2.87762400455787,0.00505702755586275,0.0268941920016337,0.0268941920016337,"776/2572/2770/2793/54407/5582/2555/2558/6539/10991/2568/55879/2561/112/2556/6538/6540/2569/111/113/775/5578/9001/2784",24
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","6/1492","12/9400",0.5,3.15013404825737,3.23714031965583,0.00615937392192209,0.0322677648745471,0.0322677648745471,"2213/30835/1134/4685/81607/4804",6
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","14/1492","44/9400",0.318181818181818,2.00463075798196,2.90121295578705,0.00635541521174544,0.0328051579312154,0.0328051579312154,"2572/3553/3002/356/3458/942/7124/5551/3552/5799/941/3592/4049/3382",14
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","19/1492","67/9400",0.283582089552239,1.78664319154896,2.80670302459143,0.00670077447849879,0.0340865484341025,0.0340865484341025,"5313/125/387712/229/80201/130/2203/55276/222/3101/218/230/84532/5105/131/221/130589/2645/124",19
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","12/1492","37/9400",0.324324324324324,2.04333019346424,2.76189416310633,0.00946785332723396,0.0474745216837017,0.0474745216837017,"3553/3383/5332/5582/356/3458/3569/7124/8542/5578/3620/3592",12
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","14/1492","46/9400",0.304347826086957,1.91747289893927,2.70935169603729,0.00974631393331746,0.048182481557668,0.048182481557668,"54657/7367/79799/54577/341208/54600/54576/54578/7364/54658/9843/7366/54490/1356",14
