"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene"
174.197625261555,-1.28811726944795,0.297423169501403,-4.33092442531406,1.48484642519479e-05,0.000105344911465367,"SLC9A3"
27.4071408820077,-1.13844091703279,0.299631672616823,-3.7994678836528,0.000145007101634541,0.000774145777578964,"CLDN18"
1331.0474968741,-1.46990743825427,0.181443844098691,-8.10117006479842,5.44330942649587e-16,3.79261866807432e-14,"EML1"
416.8316546087,-2.2031154856853,0.2448320668185,-8.99847603426279,2.28872470115264e-19,2.62244192997677e-17,"NAV3"
172.731868166622,-2.53417433062382,0.391885521341977,-6.46661892979807,1.00219956451599e-10,2.47849497083003e-09,"GAL"
45.3226361618384,-1.37249639126265,0.347695301366421,-3.94741138539643,7.90007440355706e-05,0.000459033342707049,"GUCY2C"
42.0537776218676,-1.28506628483342,0.323548686519355,-3.97178643702065,7.13356587929932e-05,0.000419288686856666,"SCT"
643.289935758896,-1.10666004628395,0.15968586889061,-6.93023154755194,4.20152352769724e-12,1.37726966309514e-10,"CLTCL1"
3121.07188673644,-1.84725041365988,0.22204891470153,-8.31911480469466,8.86226779452644e-17,6.9573189448317e-15,"FSTL3"
30.986235171309,-1.50232166581716,0.326314023323572,-4.60391389409416,4.14623947304081e-06,3.42025934058891e-05,"FRMPD1"
1372.00004434656,-2.82358177474603,0.352513202237489,-8.00986106853319,1.14838099915797e-15,7.57530194868847e-14,"CNGB1"
145.94496317908,-1.06262438553674,0.314092553797902,-3.38315688381606,0.000716576854582578,0.00307919893777653,"CAMK2A"
279.596315096497,-1.55719953846369,0.322833628301343,-4.82353572227659,1.41035493912222e-06,1.31592190071783e-05,"MYO3B"
1271.22466759929,-1.74521193997071,0.299179553921025,-5.83332623201715,5.4333188137049e-09,9.08877318014054e-08,"SLC6A15"
34043.2248362822,-1.54200959562634,0.147593296908693,-10.4476939530681,1.50131260830765e-25,3.91575910239189e-23,"ACTN1"
787.055857003128,-1.16832021156437,0.221473688499283,-5.27520997858013,1.32604166963329e-07,1.60816524908571e-06,"SPEG"
59.3092589145264,-1.40713418151148,0.445551139212324,-3.15818782104139,0.00158753239486429,0.00609507280596501,"TRHDE"
2064.02781662038,-1.03594736045359,0.150733496390939,-6.87270835784753,6.29942714600812e-12,1.97579738293902e-10,"SCARB1"
185.059777773998,-1.89296006372535,0.417492104802759,-4.53412182397957,5.78436382203398e-06,4.60576629292101e-05,"CYP2W1"
838.066011135085,-1.2866332432483,0.295794786676063,-4.34974956018187,1.36293096793607e-05,9.77626166524798e-05,"PANX2"
897.169507754431,-1.08992170542347,0.300868459625967,-3.62258545405003,0.000291673058269191,0.00142091157472132,"DHRS9"
5297.43208850464,-1.3331270258554,0.193750558684255,-6.88063577678724,5.95860215996647e-12,1.87907079821756e-10,"IGF2BP2"
800.580126716099,-2.3202975928302,0.279817552422687,-8.29218028940947,1.11191222397373e-16,8.50999230104988e-15,"GLI2"
6673.38699311993,-1.81113258166366,0.236899331472108,-7.64515699731681,2.08690541571462e-14,1.06207144038519e-12,"PPP2R2C"
41.2991519999457,-2.11023688359867,0.302909438863005,-6.96656034067349,3.24783631579932e-12,1.08842325223892e-10,"SNCB"
16528.2400126522,-1.02479999174039,0.19715760570759,-5.19787196675687,2.01582887927867e-07,2.32859953143948e-06,"CA12"
6702.88940793019,-1.456754784054,0.203230895133011,-7.16797897829747,7.61129861560542e-13,2.90144166938151e-11,"SEMA3C"
46145.901370958,-1.07864787047132,0.137288613586443,-7.85679046712899,3.94101297046622e-15,2.30444630109341e-13,"FSCN1"
819.367603215126,-1.30763668879957,0.192426958145212,-6.79549633483674,1.07940261521588e-11,3.22235818375254e-10,"RAP1GAP"
6.80813376314929,-1.16158314107891,0.377238668985924,-3.07917304501532,0.00207576073974531,0.00763320049412881,"DCX"
1248.49745568106,-1.68872457751976,0.281780237456897,-5.99305541354042,2.05934639322928e-09,3.76928844688711e-08,"MAP2"
1508.55875331474,-1.48837931367552,0.233758166727359,-6.36717567780839,1.92540603573425e-10,4.47699250948296e-09,"FAP"
59.5730114497839,-1.19273421377936,0.448100988115612,-2.66175314362758,0.00777348645472052,0.0233010638513076,"RBFOX1"
76.2038094769039,-1.11428550179803,0.379945891260525,-2.93274786602174,0.003359766171949,0.0114855505636732,"HOXA9"
42.3187597034464,-1.63358616345677,0.347648613047315,-4.69895780436909,2.61492468452693e-06,2.28345130216014e-05,"BRINP1"
