"SYMBOL","CESC_LFC","HNSC_LFC"
"ADAMTS16",-0.0892950815409283,-0.632472436638858
"ADAMTS17",0.0618137785919812,1.10912784466247
"ADAMTS18",-4.16791888123168,0.159675057604494
"ADAMTS2",-0.678686661802537,-1.07023861874029
"ADAMTS20",-0.980971180965923,-2.14826830018382
"ADAMTS3",-0.410635344621296,-0.18779286537377
"ADAMTS4",-0.477106187496584,-1.00408193287209
"ADAMTS5",-2.02578344919885,-0.717515318988705
"ADAMTS6",-0.587929837219071,-1.12557023742228
"ADAMTS7",-1.2472364239184,-0.645068056918701
"ADAMTS7P1",0.0904160404978522,0.172794601558101
"ADAMTS7P3",0.735240793039686,-0.672694190163081
"ADAMTS7P4",0.327108275181666,0.329134565169595
"ADAMTS8",-0.343788177063127,0.401125524077962
"ADAMTS9",-1.29800552158372,-0.556813335447359
"ADAMTS9-AS1",-1.00837640064589,-0.283513084103173
"ADAMTS9-AS2",-0.729040106081368,-0.302570214385302
"ADAMTSL1",-3.17451471368443,-1.01415271325207
"ADAMTSL2",-2.00110252174292,-0.273368406820005
"ADAMTSL3",0.849080707574055,0.659075189048842
"ADAMTSL4",2.52666856988002,-1.13780574117415
"ADAMTSL4-AS1",0.45046639319984,-0.342282697108796
"ADAMTSL4-AS2",0.395976636820501,-0.654890018497563
"ADAMTSL5",0.709239301491609,-0.637026747488959
"ADAP1",1.35524112271461,-0.646743879037559
"ADAP2",0.312550865237879,-0.681839565694031
"ADAR",0.297947392553702,-0.199608130892209
"ADARB1",0.195131430635605,-0.895821538585983
"ADARB2",2.19719466133228,3.03385879458077
"ADAT1",0.270522935228669,-0.128620533338116
"ADAT2",-0.455530419172602,-0.0689030797934627
"ADAT3",-0.248585097996278,0.13154123219266
"ADCK1",-0.173105692533726,-0.0623463470721986
"ADCK2",0.130839079384493,-0.180991381536963
"ADCK5",-0.245419610668563,-0.330784369527622
"ADCY1",-2.03136666938231,-0.0391528559285694
"ADCY10",0.251437271105527,-0.83204206807317
"ADCY2",-0.317481562172386,-0.576977129195118
"ADCY3",1.08959951275237,-0.118768591130835
"ADCY4",-0.726709561194234,-0.182531196827
"ADCY5",-1.49042180304268,0.896302539185219
"ADCY6",0.225248694524361,1.08329414394264
"ADCY7",0.965423989193817,-0.631374739818778
"ADCY9",1.01153794345741,0.109508544665059
"ADCYAP1",1.60667739364684,-0.404099138117943
"ADCYAP1R1",-3.38882834477196,0.925398043694244
"ADD1",-0.266337797163971,-0.304497307836886
"ADD2",-0.944808505030495,-0.798905478881341
"ADD3",-0.443977441258539,0.22391311549741
"ADD3-AS1",-1.84206463490036,0.224528205417004
"ADGB",-1.08790885693445,0.355484704019953
"ADGRA1",4.61423276004189,-1.40239514236659
"ADGRA2",-0.739443549730625,-0.572630481244562
"ADGRA3",-0.975686471663356,-0.083250968274725
"ADGRA3P1",0.0537783854909609,-0.80007409711968
"ADGRB1",-0.5739182610245,-1.87848651888447
"ADGRB2",0.0370961456829436,0.489480727006598
"ADGRB3",-2.66619330960286,-0.712009858082783
"ADGRD1",-2.84946803324523,0.712912383251822
"ADGRD2",4.93710991992889,1.58652477448144
"ADGRE1",1.31240295745983,-1.02973547399717
"ADGRE2",1.56382402849221,-0.629295271081383
"ADGRE3",1.29129075846783,0.0435125113148884
"ADGRE5",1.29110976968743,0.0123501809131442
"ADGRF1",-0.468959209520021,0.518191404491834
"ADGRF3",0.42509648846572,0.320142077921622
"ADGRF4",3.22113371177343,-0.731928540909016
"ADGRF5",-1.4897311516403,-0.3239726352319
"ADGRF5P1",1.06747973290472,1.11419375970191
"ADGRG1",0.236078119454937,-0.611184159678081
"ADGRG2",-0.631470144839831,1.17084556299831
"ADGRG3",0.477055306469828,-1.13325588305279
"ADGRG5",0.637886838980538,1.180785620543
"ADGRG6",1.22616429381897,1.12972592621069
"ADGRG7",3.32955727532036,0.323985319323973
"ADGRL1",-1.26481538663321,-0.12608351963527
"ADGRL1-AS1",0.51072148342449,0.426141173107524
"ADGRL2",0.175674266056515,0.327430097286692
"ADGRL3",-1.36242093689034,-0.569381878372215
"ADGRL4",-1.05922480394133,-0.356708300012463
"ADGRV1",-0.480421683842689,0.296723279887583
"ADH1B",0.644016260594757,-0.451039158561318
"ADH1C",2.52480256193264,1.43816136712273
"ADH4",-0.331328723952239,0.638470281351293
"ADH5",-0.451384479424172,0.283378096711581
"ADH6",0.41096197046693,1.35402387361979
"ADH7",0.952405948840006,0.0658161467149931
"ADHFE1",-0.0409911114405168,0.359866135371266
"ADI1",0.0567350236538943,0.253050713237243
"ADIPOR1",0.0537201250958442,-0.166427513784592
"ADIPOR2",0.552390660360458,-0.0107762525795847
"ADISSP",-0.0265940912856489,-0.67740556356785
"ADK",0.554610727136291,-0.454364402039651
"ADM",0.398342264567089,-0.759897951300248
"ADM2",-0.389135861105181,0.586427355106319
"ADM5",-0.933411643368797,-0.2079202168969
"ADNP",-0.0642187726653812,0.284682575899859
"ADNP-AS1",0.220452083980509,0.42041099741862
"ADNP2",0.10857239418207,0.53852833958166
"ADO",-0.232000010889992,-0.288726313219169
"ADORA1",0.0481979345342294,0.129452280431544
"ADORA2A",0.266706523934365,1.76819966007085
"ADORA2A-AS1",1.79177409166273,3.24857515477517
"ADORA2B",1.05198820479341,-0.260794506137911
"ADORA3",0.585215901419618,-0.254868588899466
"ADPGK",0.4041553813463,0.0743062293290327
"ADPGK-AS1",0.862036866647402,0.682333883706231
"ADPRH",0.36001772251787,0.289736669943687
"ADPRHL1",0.888310607477275,-1.20178236372297
"ADPRM",-0.14884376360068,-0.106675814437713
"ADPRS",0.373582062015402,-0.209807686555245
"ADRA1B",-0.763315209790724,0.361504615620971
"ADRA1D",0.428994201892286,-1.15010065674014
"ADRA2A",-2.38802217859114,0.367801173655905
"ADRA2B",-0.95596072959539,-0.281794516402106
"ADRA2C",-1.66884800130987,-1.41925237540331
"ADRB1",-0.726244954690587,0.721706516711972
"ADRB2",3.86655421295991,0.35674602925346
"ADRB3",1.28897663159841,1.38550158197813
"ADRM1",0.375060568880652,-0.191266637212351
"ADSL",-0.848307276496041,-0.267403569344182
"ADSS1",1.75397116937065,0.295414988415291
"ADSS2",-0.0559365061261142,-0.0101354048840062
"ADTRP",1.9731233676703,0.552781953899138
"AEBP1",-0.556039061316739,-0.92064431915031
"AEBP2",0.494394770384006,0.147661831238074
"AEN",-0.376176951958906,-0.307156438985503
"AFAP1",0.363125637850294,0.262616812191899
"AFAP1-AS1",2.19836727319362,-3.28282768080475
"AFAP1L1",0.380278341855479,-0.413071959761088
"AFAP1L2",-0.335897370459331,-0.536373040778052
