"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Amino acid metabolism","hsa00350","Tyrosine metabolism","13/1490","37/9400",0.351351351351351,2.21657899510248,3.21795066422771,0.00320619464433249,0.0197434091256264,0.0197434091256264,"125/222/124/130/131/4128/7173/1644/5409/3081/221/3242/218",13
"Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","30/1490","116/9400",0.258620689655172,1.63156676695209,2.97047851361299,0.00361497003491735,0.0218768014182067,0.0218768014182067,"2793/2893/22941/283748/776/112/9762/2902/2899/10991/111/5578/2770/2900/123745/9229/2891/6511/6507/5332/2784/50944/54407/3760/255189/113/2903/5582/775/6512",30
"Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","26/1490","97/9400",0.268041237113402,1.69099840863489,2.96891060558458,0.00387725380681388,0.0228150516671742,0.0228150516671742,"4842/51655/2793/2893/810/776/6263/112/8912/2902/6261/111/5578/2770/117/815/2891/4544/5332/2784/4543/3760/113/2903/5582/775",26
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","22/1490","78/9400",0.282051282051282,1.77938392703493,2.99978351758266,0.0039000088319956,0.0228150516671742,0.0228150516671742,"114548/3553/3678/810/712/713/722/929/718/6374/729238/2770/834/6372/715/725/714/7124/3552/716/3569/3592",22
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","45/1490","193/9400",0.233160621761658,1.47094620440241,2.86903998700452,0.00402063622293738,0.0229094144689679,0.0229094144689679,"5293/6346/6363/2793/6355/6370/1234/6359/10803/408/1237/6373/5473/3627/112/653361/6374/111/1524/56477/643/2770/6366/6367/1232/6372/6351/6356/131890/6846/3717/4283/5332/2784/1236/25759/3579/10344/729230/113/10563/6375/6352/2921/2826",45
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","38/1490","157/9400",0.24203821656051,1.52695250716026,2.8897517945536,0.00404667719964675,0.0229094144689679,0.0229094144689679,"948/6513/6446/203859/343702/246/712/713/114786/63982/5732/1524/5031/5029/4776/834/121601/84465/2057/84868/64284/815/6566/89790/714/9023/338382/3717/5468/4035/1849/64805/7040/55423/489/26762/51454/1846",38
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","20/1490","69/9400",0.289855072463768,1.82861589339558,2.99819190332601,0.00412066502068195,0.0229579908295137,0.0229579908295137,"810/776/9635/1907/112/5139/22802/155/5732/111/5972/2770/117/134/183/1636/5332/4881/154/775",20
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","27/1490","103/9400",0.262135922330097,1.6537434026194,2.89534441985209,0.00458863630512559,0.0251658022359232,0.0251658022359232,"5293/2769/919/3553/356/712/713/7097/718/9630/2770/5054/917/10333/714/3458/7124/1636/5332/5521/7040/916/6352/3569/5522/3592/915",27
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","20/1490","70/9400",0.285714285714286,1.80249280920422,2.92479253069638,0.00492895700304102,0.0264340333097188,0.0264340333097188,"54577/1646/54657/2944/7364/7367/1559/1577/54576/6799/2953/1571/79799/54490/54578/10/54658/9/7366/6822",20
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","24/1490","89/9400",0.269662921348315,1.70122916823769,2.88471245674856,0.00497050198986166,0.0264340333097188,0.0264340333097188,"2568/2793/2561/2569/776/6540/55879/2572/112/2556/10991/111/5578/9001/2770/2784/6539/2558/54407/113/6538/5582/2555/775",24
"Genetic Information Processing","Information processing in viruses","hsa03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","6/1490","12/9400",0.5,3.15436241610738,3.24092188743774,0.00611750866378031,0.0320484409102521,0.0320484409102521,"1134/4804/81607/30835/4685/2213",6
"Human Diseases","Endocrine and metabolic disease","hsa04940","Type I diabetes mellitus","14/1490","44/9400",0.318181818181818,2.00732153752288,2.90666558518244,0.00627898428316676,0.0324106394616402,0.0324106394616402,"5799/3553/356/4049/2572/5551/3382/3002/3458/7124/3552/942/941/3592",14
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","19/1490","67/9400",0.283582089552239,1.78904137032956,2.81301637359473,0.00660367275855077,0.0335925962065409,0.0335925962065409,"125/222/124/5105/230/130/5313/131/55276/84532/387712/80201/229/2203/221/218/2645/130589/3101",19
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","12/1490","37/9400",0.324324324324324,2.04607291855614,2.76694818556749,0.00936796941122157,0.0469736751905539,0.0469736751905539,"3553/356/8542/5578/3458/7124/5332/3620/3383/5582/3569/3592",12
