"EnsemblGeneID","WaldStatistic"
"ENSG00000171804",7.59287611530154
"ENSG00000042832",7.58836091112895
"ENSG00000080503",7.58170586283467
"ENSG00000147168",7.58126515950739
"ENSG00000173226",7.57767890491307
"ENSG00000000460",7.56746431866446
"ENSG00000213024",7.56684299294315
"ENSG00000179750",7.56533571517819
"ENSG00000139083",7.56152629658766
"ENSG00000123473",7.5582989803681
"ENSG00000187951",7.55744043652055
"ENSG00000105717",7.55655168049431
"ENSG00000141314",7.55599705776579
"ENSG00000075336",7.54161082925226
"ENSG00000177463",7.54123328003689
"ENSG00000177034",7.53715868297336
"ENSG00000100167",7.51679820505547
"ENSG00000171320",7.51423841468898
"ENSG00000130816",7.50964332145276
"ENSG00000205111",7.50863512046151
"ENSG00000108384",7.50788620676973
"ENSG00000119333",7.50131306521975
"ENSG00000134323",7.49827672333877
"ENSG00000144290",7.4912578891467
"ENSG00000180815",7.48893842355028
"ENSG00000147364",7.48598507376169
"ENSG00000114107",7.48182873967513
"ENSG00000197852",7.44472731524085
"ENSG00000135226",7.43607794935008
"ENSG00000101945",7.43493479901602
"ENSG00000078674",7.43345655023738
"ENSG00000115687",7.42894141134352
"ENSG00000038274",7.41805520528175
"ENSG00000168356",7.41176781923328
"ENSG00000198168",7.4087867904097
"ENSG00000119919",7.40265207383381
"ENSG00000175352",7.39603388035707
"ENSG00000139350",7.3927681716121
"ENSG00000157796",7.38803054603514
"ENSG00000234602",7.38703517556478
"ENSG00000158286",7.38609390579896
"ENSG00000183066",7.38064035455387
"ENSG00000049246",7.37590189036248
"ENSG00000204084",7.3707546588631
"ENSG00000182010",7.35360363330783
"ENSG00000280350",7.3511829769952
"ENSG00000145241",7.35073730702332
"ENSG00000176208",7.34936727540044
"ENSG00000152457",7.34767675884494
"ENSG00000105643",7.34745139388548
"ENSG00000198830",7.3470477320567
"ENSG00000112029",7.33968579340172
"ENSG00000120915",7.33504084421609
"ENSG00000179698",7.33146016854631
"ENSG00000012048",7.32237839631562
"ENSG00000267909",7.31580972852068
"ENSG00000178460",7.31025344539403
"ENSG00000186377",7.31024837865756
"ENSG00000175785",7.30974309433327
"ENSG00000075073",7.30712010352462
"ENSG00000106462",7.30552256626759
"ENSG00000163518",7.3036018183311
"ENSG00000163918",7.30002240645196
"ENSG00000162039",7.29785630573796
"ENSG00000138796",7.2945861937102
"ENSG00000133256",7.29453275848107
"ENSG00000159082",7.29297541769037
"ENSG00000251307",7.28480907734812
"ENSG00000251076",7.27368568392025
"ENSG00000003989",7.26444735479593
"ENSG00000179456",7.26304730118394
"ENSG00000231993",7.26159685968098
"ENSG00000159882",7.26079191254348
"ENSG00000171360",7.25935170390648
"ENSG00000100206",7.25616582408417
"ENSG00000114126",7.25417634184263
"ENSG00000223956",7.25384450096043
"ENSG00000152620",7.25087921362247
"ENSG00000185591",7.25043461970155
"ENSG00000188529",7.24842456568503
"ENSG00000238086",7.23966746397738
"ENSG00000104611",7.23574691780287
"ENSG00000092853",7.23574679285913
"ENSG00000139438",7.23258681974177
"ENSG00000131373",7.22744192791465
"ENSG00000136367",7.22383923059236
