"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000005249",468.519292778445,-1.63089184119437,0.486674598307875,-3.35109300313771,0.00080493264053159,0.00674433739141539,"PRKAR2B"
"ENSG00000005302",2399.62341082167,0.130991196863617,0.145383199257744,0.901006426687502,0.367584902682056,0.548474046100834,"MSL3"
"ENSG00000005339",5827.88994003181,0.388477314383496,0.160551825099524,2.41963810839698,0.0155359599174476,0.0601817275190131,"CREBBP"
"ENSG00000005379",1125.21402110544,-1.64548142959662,0.427384187528297,-3.850122390145,0.000118058815707461,0.00151445937555558,"TSPOAP1"
"ENSG00000005381",6.58921883006841,-0.246571108378901,0.528585492159729,-0.466473469355818,0.640876633626656,0.77878607303866,"MPO"
"ENSG00000005421",25.0116195283242,-3.74665527116334,1.0437936499996,-3.58945972814147,0.000331364015395742,0.00339293881930718,"PON1"
"ENSG00000005436",961.308275687467,-0.165708355752377,0.161007320537967,-1.02919764889387,0.303386806909384,0.48525534979858,"GCFC2"
"ENSG00000005448",1515.36758332399,0.26220031443213,0.371298055179399,0.706172065203637,0.480081140173029,0.651168552815539,"WDR54"
"ENSG00000005469",1608.42580589935,0.947057001296273,0.320850828508009,2.95170502036785,0.00316024671722919,0.0186244419013218,"CROT"
"ENSG00000005471",32.621092791523,-1.11530677980221,0.396636010154098,-2.81191508398065,0.00492475027301905,0.0259078498656531,"ABCB4"
"ENSG00000005483",3421.14044339909,0.0815696310683125,0.215652121334727,0.378246365319557,0.705247584936155,0.822728571520819,"KMT2E"
"ENSG00000005486",5232.31615500365,-0.387434912863212,0.235677682419158,-1.64391854538925,0.100193028851437,0.229863650343198,"RHBDD2"
"ENSG00000005513",30.0312109884181,-0.0720368637945094,0.532458051714402,-0.135291153101293,0.892381679571848,0.941021944951223,"SOX8"
"ENSG00000005700",2691.2995931673,-0.0867132187779986,0.205689322907022,-0.421573747983,0.673336171247209,0.801392169633167,"IBTK"
"ENSG00000005801",1382.70640377759,-0.824388127176589,0.209155708625336,-3.94150431080668,8.09721795225687e-05,0.0011341090593161,"ZNF195"
"ENSG00000005810",3735.21390351373,0.879728844909752,0.277316030039513,3.17229712535696,0.00151238185985149,0.0107400031989713,"MYCBP2"
"ENSG00000005812",2305.46943868192,0.384303572183524,0.181708497554067,2.1149455163437,0.0344345912149131,0.107477186254825,"FBXL3"
"ENSG00000005844",1109.85134179959,1.0861931350806,0.473935975079035,2.29185626792619,0.0219139385049213,0.0770884914055852,"ITGAL"
"ENSG00000005882",920.754405348348,0.700419428148165,0.226795850792233,3.08832558312462,0.00201287811174184,0.0133335468804486,"PDK2"
"ENSG00000005884",21515.8564737766,1.62613790356418,0.431599519757526,3.76770091050554,0.000164757930207464,0.00197261490298393,"ITGA3"
"ENSG00000005889",2481.23692822921,0.327390903268796,0.190114597897225,1.72207135532949,0.0850565933156503,0.204570474390363,"ZFX"
"ENSG00000005893",14285.3231837356,0.44674944738865,0.230940240905559,1.9344807368212,0.0530540482451184,0.145930709634295,"LAMP2"
"ENSG00000005961",339.291811521091,0.709141957782887,0.51088812365695,1.38805723786811,0.165119616511696,0.324182630288857,"ITGA2B"
"ENSG00000005981",13.1210701991782,1.11897847240544,0.769414941096012,1.45432381493851,0.145856550864685,0.298182861714133,"ASB4"
"ENSG00000006007",3276.23465418507,-0.0883417448762868,0.164309238619072,-0.537655372386546,0.590814994598984,0.740907190488932,"GDE1"
"ENSG00000006015",1819.23188573606,0.238873097589566,0.345247657695765,0.691889118622387,0.489006964593178,0.659531231198842,"REX1BD"
"ENSG00000006016",460.768026473932,-2.85874866159808,0.736071267682098,-3.88379330523298,0.000102839340771392,0.00136542233675946,"CRLF1"
"ENSG00000006025",1068.37273532072,0.967114432823901,0.30316767424435,3.19003150726557,0.00142257283546449,0.010289717345657,"OSBPL7"
"ENSG00000006042",1915.65225067094,-1.04952404245303,0.464956024513144,-2.25725442218322,0.0239921815567052,0.0824236813660883,"TMEM98"
"ENSG00000006047",1150.97598805513,-0.20135719434837,0.491551352642258,-0.409636131130563,0.682072888307887,0.807320197070142,"YBX2"
"ENSG00000006059",28.9002563283597,2.46472715957082,0.926548791359654,2.6601158865622,0.00781137696450167,0.0364317390017028,"KRT33A"
"ENSG00000006062",1259.36282139378,1.54065816698072,0.279204499491981,5.51802771726096,3.42825371349686e-08,2.29937272410411e-06,"MAP3K14"
"ENSG00000006071",5.38726843509873,0.872085206774125,0.821886951544271,1.06107683682718,0.288654983556278,0.469085828141402,"ABCC8"
"ENSG00000006118",5217.10961740462,-0.795785234752281,0.311838813534381,-2.55191207833577,0.0107133550191703,0.0458462400553866,"TMEM132A"
"ENSG00000006125",9463.6394643064,-0.312604993778573,0.356057916542658,-0.877961082326115,0.379964838966557,0.560421448784799,"AP2B1"
"ENSG00000006128",69.8948400633654,-7.12183705677109,1.04766669705634,-6.79780800208835,1.06222884209045e-11,2.3197378345108e-09,"TAC1"
"ENSG00000006194",2067.36417211928,0.0766623832819991,0.134808486043783,0.56867624236282,0.569575873442329,0.725089604722595,"ZNF263"
"ENSG00000006210",6146.41735404376,0.176826675593341,0.490599654946531,0.360429677865575,0.718525836202666,0.832211899100654,"CX3CL1"
"ENSG00000006282",2532.71317285371,-0.74731761681106,0.265022864065183,-2.81982318562242,0.00480501176708004,0.0253953942338337,"SPATA20"
"ENSG00000006283",65.8341067710944,-0.272853576195095,0.48966293686075,-0.557227340799716,0.577372111748079,0.730865008416371,"CACNA1G"
"ENSG00000006327",6235.61322984249,1.15888632534322,0.374836980631047,3.09170755615469,0.00199008801528333,0.0132288082514769,"TNFRSF12A"
"ENSG00000006377",204.678459613003,-2.66765066862373,0.737889118224723,-3.61524598037411,0.000300062573390825,0.00312876551887805,"DLX6"
"ENSG00000006432",1346.27148964779,0.279349215544654,0.298737851420293,0.935098161202341,0.349737714112047,0.532051946044955,"MAP3K9"
"ENSG00000006451",5598.70847136424,0.197075855293457,0.166919056126637,1.18066720401259,0.237734954821095,0.413487658280106,"RALA"
"ENSG00000006453",4278.28813055455,0.683139675287168,0.212857904552746,3.20936954031644,0.00133026399430691,0.00979329733457118,"BAIAP2L1"
"ENSG00000006459",1996.77232328881,-0.803056277222637,0.29161515751241,-2.75382214036135,0.00589037694241333,0.0295579981202204,"KDM7A"
"ENSG00000006468",603.611836305571,-1.85421637005162,0.555997845225737,-3.33493445338587,0.00085319507663856,0.00703853708131744,"ETV1"
"ENSG00000006530",1591.09654149492,-0.260463583860469,0.16941162839609,-1.53745989178202,0.124180729616329,0.267025250655105,"AGK"
"ENSG00000006534",2053.81160988651,1.08557889531835,0.512497568594144,2.1182127718113,0.0341570520207223,0.106846531328207,"ALDH3B1"
