"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","55/1077","377/18842",0.145888594164456,2.55230537720212,7.49635942833115,1.39593122831491e-10,6.96901541494699e-08,6.96901541494699e-08,"IL12A/IGHV2-70/IGHV3-21/CR1L/LY9/IGHV3-7/SLAMF6/IGHV2-5/IGHV3-16/SLAMF1/CD8A/IL27RA/IGHV5-51/C7/IGHV3-74/CCR6/IL21R/JAK3/AIRE/CD27/IGHV4-34/IGHV1-69D/PDCD1/FCER2/CCL19/CR2/IGHV3-43/IGHV3-20/IL17RB/FOXJ1/TRAF2/IGKC/BTLA/IL17A/IGHV3-64D/IRF4/IGHV3-73/IGLL1/IL17F/IGHV1-58/CD19/TBX21/IGHA2/C5/IGHA1/IL2RG/IGHV1-18/IGHV2-70D/CD40LG/C8G/IL21/IGHV3-64/SUSD4/IGLL5/NOTCH1",55
"GO:0030098","lymphocyte differentiation","53/1077","356/18842",0.148876404494382,2.6045767998915,7.52560212644097,1.42224804386673e-10,6.96901541494699e-08,6.96901541494699e-08,"IKZF3/PAX5/LY9/SLAMF6/CD3D/MS4A1/INPP5D/THEMIS/CRTAM/VNN1/CD79A/SLAMF1/PBX1/ZAP70/AICDA/ITK/IGHM/CD8A/SPIB/AQP8/CCR6/EOMES/JAK3/AIRE/CDKN2A/CD27/POU2AF1/MYB/CD79B/CCL19/CR2/IKZF1/FLT3LG/FOXJ1/TESPA1/SMARCA2/IRF4/ICOSLG/CD19/BTNL3/TBX21/CD2/ZNF683/PIK3R3/PCK1/IL2RG/VCAM1/FCRL3/USP44/IL21/CD3G/KIT/CD3E",53
"GO:0002429","immune response-activating cell surface receptor signaling pathway","51/1077","336/18842",0.151785714285714,2.65547486404032,7.53899007056405,1.57044711087383e-10,7.10325308610623e-08,7.10325308610623e-08,"NCR3/LAX1/BTN1A1/BCL2/CD3D/MS4A1/INPP5D/THEMIS/CD247/CD79A/ZAP70/UBASH3A/TLR5/TRBC1/TRAT1/ITK/IGHM/CD8A/TLR1/NOS2/BLK/CD160/CD22/CLEC2D/GCSAM/VTCN1/PAK3/CD8B/CD79B/PDCD1/FCER2/CR2/BTNL9/IFNG/IGKC/TESPA1/ICOSLG/CD19/BTNL3/IGHA2/ZNF683/TRBC2/IGHA1/FCRL3/SKAP1/CD3G/BANK1/FYB2/CD3E/TRGC2/SH2D1A",51
"GO:0002768","immune response-regulating cell surface receptor signaling pathway","56/1077","392/18842",0.142857142857143,2.49927046027325,7.3858766969234,2.14382728963213e-10,9.00407461645494e-08,9.00407461645494e-08,"NCR3/LAX1/BTN1A1/BCL2/NCR1/CD3D/MS4A1/KIR3DL2/INPP5D/THEMIS/CD247/CD79A/ZAP70/UBASH3A/TLR5/TRBC1/TRAT1/ITK/IGHM/CD8A/TLR1/NOS2/BLK/CD160/KIR2DL3/CD22/CLEC2D/GCSAM/VTCN1/PAK3/CD8B/CD79B/PDCD1/FCER2/CR2/BTNL9/IFNG/IGKC/BTLA/TESPA1/ICOSLG/CD19/BTNL3/IGHA2/ZNF683/TRBC2/IGHA1/FCRL3/SKAP1/CD3G/BANK1/KIT/FYB2/CD3E/TRGC2/SH2D1A",56
"GO:0051321","meiotic cell cycle","45/1077","281/18842",0.160142348754448,2.80167329176538,7.49213743898128,3.25181282207742e-10,1.27471062625435e-07,1.27471062625435e-07,"TDRD9/BTBD18/MNS1/C14orf39/SPDYA/SYCP1/NPPC/SYCE2/DMC1/MCMDC2/MAJIN/HSF5/CNTD1/SMC1B/SHOC1/WBP2NL/BRIP1/M1AP/RNF212/NPM2/MEI1/TEX15/BRME1/CDC25C/DNMT3L/ZCWPW1/SYCP3/KASH5/EXD1/FBXO43/MOV10L1/ZNF541/ANKLE1/STAG3/SGO1/FKBP6/SYCP2/SHCBP1L/KCTD19/NANOS2/DDX4/PSMA8/MEIOB/MEIOC/KATNAL2",45
"GO:0007140","male meiotic nuclear division","15/1077","43/18842",0.348837209302326,6.1028697285742,8.2481880855827,6.8816109496594e-09,2.52899202399983e-06,2.52899202399983e-06,"TDRD9/BTBD18/SPDYA/HSF5/M1AP/TEX15/DNMT3L/SYCP3/MOV10L1/ZNF541/SHCBP1L/KCTD19/DDX4/MEIOB/MEIOC",15
"GO:0050852","T cell receptor signaling pathway","28/1077","145/18842",0.193103448275862,3.37832420836935,7.07858276098177,1.172446655832e-08,4.05528608017186e-06,4.05528608017186e-06,"BTN1A1/CD3D/INPP5D/THEMIS/CD247/ZAP70/UBASH3A/TRBC1/TRAT1/ITK/CD8A/CD160/CLEC2D/VTCN1/CD8B/PDCD1/BTNL9/TESPA1/ICOSLG/BTNL3/ZNF683/TRBC2/SKAP1/CD3G/FYB2/CD3E/TRGC2/SH2D1A",28
"GO:1903131","mononuclear cell differentiation","56/1077","439/18842",0.127562642369021,2.23169480735105,6.4293679074314,1.43009612264045e-08,4.44045068779413e-06,4.44045068779413e-06,"IKZF3/PAX5/LY9/SLAMF6/CD3D/MS4A1/INPP5D/THEMIS/CRTAM/VNN1/CD79A/SLAMF1/PBX1/ZAP70/AICDA/ITK/IGHM/CD8A/SPIB/AQP8/CCR6/EOMES/JAK3/AIRE/CDKN2A/CD27/POU2AF1/MYB/CD79B/CCL19/CR2/IKZF1/IL1R2/IFNG/FLT3LG/FOXJ1/TESPA1/SMARCA2/IRF4/ICOSLG/IL34/CD19/BTNL3/TBX21/CD2/ZNF683/PIK3R3/PCK1/IL2RG/VCAM1/FCRL3/USP44/IL21/CD3G/KIT/CD3E",56
"GO:0007129","homologous chromosome pairing at meiosis","14/1077","39/18842",0.358974358974359,6.28021807966098,8.12732844176264,1.43483950796069e-08,4.44045068779413e-06,4.44045068779413e-06,"C14orf39/SYCP1/SYCE2/MAJIN/SHOC1/RNF212/TEX15/ZCWPW1/SYCP3/KASH5/STAG3/SYCP2/MEIOB/MEIOC",14
"GO:0070192","chromosome organization involved in meiotic cell cycle","15/1077","46/18842",0.326086956521739,5.70485648540632,7.86628720167318,1.97625082146884e-08,5.8101774151184e-06,5.8101774151184e-06,"C14orf39/SYCP1/SYCE2/DMC1/MAJIN/SHOC1/RNF212/TEX15/ZCWPW1/SYCP3/KASH5/STAG3/SYCP2/MEIOB/MEIOC",15
