Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-JW-A5VI-01A-11R-A28H-07,0,0.0271321475957603,0.647039121947296,0.0525268558445525,0,0.0720768527402873,0.0118554840866671,0.0150692765988237,0.00403665179546353,0,0.0325831415923683,0.00275471388574207,0,0.0101901438769303,0.0305632179115355,0.0475104381240052,0.0214105386862311,0.00532345608904919,0.0154377085718325,0,0,0.00449025065345487,0,0.792435410617185,0.670991003136271
TCGA-EK-A2H1-01A-11R-A180-07,0,0,0.165093173415677,0.0399606848593436,0,0.069465071517528,0.0306813813614556,0,0,0,0.0253466230349053,0.0384015942083098,0,0.199379859324841,0.180617522804561,0.139952272168086,0,0,0,0.106614769858889,0,0.00448704744640393,0,0.509242180443316,0.859004022366753
TCGA-VS-A94Z-01A-11R-A38B-07,0,0.000219472501338112,0.651653127991875,0.132119350314587,0,0.0144450976285567,0.0115320639301042,0.0435635394774787,0.00491377124095542,0,0.0486200878337514,0.000856151937780196,0,0,0.0192793681754994,0.0489737217922541,0.0148705148150835,0.00314672622683927,0,0,0,0.00580700613389696,0,0.924247680253699,0.549206235779912
TCGA-HM-A4S6-01A-11R-A26T-07,0,0.00539394380261757,0.234587650381116,0.117985075898551,0,0.0921376996101881,0,0.042677477055423,0.035201290945665,0,0.0766400714686055,0,0,0.102413111322342,0.12706135765264,0.11842462751436,0.0261522190900641,0,0.0148926218698753,0,0,0.00643285338855238,0.01,0.387605597392297,0.921434160694188
TCGA-VS-A9UZ-01A-11R-A42T-07,0,0.0101280213053009,0.88314441576774,0.0265962135572846,0,0.0153890338165119,0,0.00783406943863329,0.00186627670430954,0,0.00177472003192772,0.00296383615929805,0,0.00336964673412324,0.00572122004015676,0.0205480311001365,0,0.00610123273988996,0,0.000775365138036638,0,0.0137879174666511,0,0.842136364542037,0.580090908611458
TCGA-ZJ-AAXJ-01A-11R-A42T-07,0,0.0770274947316061,0.0485860138697656,0.0392004535437778,0.044792098257332,0.0284900872064192,0.0474041801309324,0,0,0,0.0901798078675257,0,0.291560814523245,0.0862705652945324,0.0501617433062764,0,0.00183402541489597,0.12456798238307,0.0699247334706214,0,0,0,0.2,0.131520592287449,1.01352709178475
TCGA-EX-A69L-01A-11R-A32P-07,0,0.0140444609789018,0.35491509761677,0.129978915331091,0,0.0433270914549587,0.0205515504477074,0.042091237461775,0.0124873726076275,0,0.0298536547971935,0,0,0,0.203808556113669,0.102336651203532,0.016754803655937,0.00114554440365787,0.017790172167764,0,0,0.0109148917594156,0,0.741580116789854,0.706684470530475
TCGA-LP-A7HU-01A-11R-A33Z-07,0.0171224295635255,0,0.3046081510692,0.131952248398153,0,0.132173276419929,0.00259586237795557,0.0663572999608569,0.0407980205444926,0,0.0352781461446693,0.013774214940693,0,0,0.144308438682842,0.0974091827682855,0.0136227291293973,0,0,0,0,0,0,0.744311986189417,0.713483080842022
TCGA-FU-A3TQ-01A-11R-A22U-07,0.000253054723637171,0.0337839551846075,0.0929819698635823,0,0,0.232998726294838,0.010712669776329,0.00128262939811022,0.0213327653336009,0,0.0630243357917272,0,0.0176448533971339,0.163975892173336,0.0493185460238478,0.0994391086515068,0.00519024903073749,0.0315693393300039,0.0961037617279211,0,0,0.0803881432990805,0.0600000000000001,0.221148495845175,0.986818899753524
TCGA-Q1-A5R3-01A-11R-A28H-07,0,0,0.262001993134659,0.0729384517714053,0,0,0.0251197967102696,0.045050028990218,0.0460874434068768,0,0.0222076841371453,0.0115652843621726,0,0.375090775738796,0,0.0733038812236804,0,0.0530670181455696,0,0,0,0.0135676423792073,0,0.773202717847477,0.689094906946639
TCGA-EK-A2IP-01A-11R-A180-07,0,0.0136995533055974,0,0.00958027947194968,0,0,0.12207061354157,8.5615099503403e-05,0,0.000191772822677661,0.113456217206995,0,0,0.612620244010779,0.010765449695728,0.0741598577316961,0,0,0,0.0125271935707981,0.0170747192338155,0.0137684843088897,0.01,0.453520481902921,0.923980272476735
TCGA-FU-A3HZ-01A-11R-A213-07,0,0,0.0948052701345494,0.179684255516128,0,0,0.127377117503752,0.119955075100914,0,0,0.19881712377142,0,0,0,0.0629960033481405,0.0541925565837521,0.0976801030298408,0,0,0.0317042667803672,0.0327882282311361,0,0.08,0.19891932896705,1.02855916671375
TCGA-DR-A0ZM-01A-12R-A10U-07,0,0.0510802186036552,0.325123355245541,0.1017766642865,0,0.118563274112451,0.0412467099596739,0.08874207141418,0,0,0.0296906780291624,0.00765341993894329,0,0,0.12801832564563,0.0544421371556059,0,0.0124202095418335,0,0,0.00819627499571972,0.0330466610711048,0,0.578894326697814,0.821833634706788
TCGA-VS-A9V4-01A-12R-A42T-07,0,0,0.520785109472772,0.00328893842597956,0.0245438167358437,0.11318710563869,0.0654335454892437,0,0,0,0.075568698150803,0,0.00818554191713676,0.0299403505118117,0,0.0199211355666579,0.0314679649812448,0,0,0.0897855112441143,0,0.0178922818657021,0.05,0.247023061405336,0.994420210719767
TCGA-C5-A2M2-01A-21R-A18M-07,0,0,0.386599593053538,0,0.167484229687693,0,0,0.0577829191286907,0,0.0790888362805199,0.140956509338259,0,0,0,0,0,0,0.0225992834287797,0,0.129419521428731,0,0.0160691076537884,0.84,-0.0112262141911891,1.11354835951767
TCGA-VS-A8EI-01A-11R-A37O-07,0,0.0827584845458109,0.349561446621916,0.0691266783474962,0,0.153777751316696,0,0.0389081195836322,0.00129386588556188,0,0,0.0518301634618315,0,0.0360340235298091,0.149537589081848,0.026747131885193,0.0140706546682614,0.00978616227457284,0.00726899777902996,0,0,0.0092989310183408,0,0.509211922806265,0.859092509224315
TCGA-FU-A23K-01A-11R-A16R-07,0,0.00762304066311323,0.458047697929129,0.114405778818611,0,0.0238637837886674,0,0.094862973033905,0.0283627299960812,0,0.0397731436279668,0.0128226325178603,0,0,0.0441959444145534,0.138567976066041,0.00774687905661138,0.0128342228111481,0.00933522049904804,0,0,0.00755797677726368,0,0.681026795518726,0.767838191868035
TCGA-C5-A8XK-01A-11R-A37O-07,0,0.0293186169844877,0.0609721716545399,0.0835322742920302,0,0.155800875716979,0.0177652093518441,0,0,0,0.0762314019671437,0,0.0234937086359684,0.16374750813397,0.0841242120507136,0.24668594869063,0,0,0.0215816227662001,0,0.0089606173026301,0.0277858324528637,0.46,0.0447736862018204,1.07326357242222
TCGA-C5-A1BI-01B-11R-A13Y-07,0.0042207694479225,0,0.373453033765024,0.0396774046533455,0,0.104527224645098,0.0424927403082131,0.0515715433741303,0.0113412450351738,0,0.0475846990539764,0.0023109164581357,0.134588504195093,0.0546315034354805,0.0529765884826622,0.0349664458103559,0.00925523568520117,0.0364021456501886,0,0,0,0,0,0.61545610415286,0.819222833137756
TCGA-FU-A23L-01A-11R-A16R-07,0,0,0.253110864361362,0.109512275616123,0,0.194682405814068,0.0130049928596647,0.0277936032238209,0.018065223398307,0,0.07967772482783,0,0.00274364040540341,0,0.166468499651469,0.075376581822138,0,0.0371519340617776,0.0119236593529142,0,0,0.0104885946051219,0,0.606889786228594,0.799006841258784
TCGA-EA-A97N-01A-11R-A38B-07,0,0.0204203130898811,0.0367008893544719,0,0,0.123916577474319,0,0.0873094845852938,0,0.00864330776579529,0.0658416749199826,0,0,0.386449644899934,0.0495063888814698,0.122845336637032,0,0.0470767950919702,0.0310483604319246,0,0,0.0202412268679253,0,0.490201035561786,0.870849955883199
TCGA-ZJ-AAXB-01A-11R-A42T-07,0,0,0.432970573681156,0,0,0.195886054188928,0.0102489371556021,0.0177039799906945,0,0,0.0399136815035257,0,0.015318550026241,0,0.0021263276106538,0.198135929689531,0,0.0817742011417338,0,0.00525435139842332,0,0.000667413613511428,0.27,0.101666485242547,1.04569969578333
TCGA-C5-A1MI-01A-11R-A14Y-07,0,0,0.448887832416127,0.152429995039467,0,0.143349466392563,0.0251180932923239,0,0.0175331417327562,0,0.0409125752217798,0,0,0.00468650364825896,0.0498509731529385,0.107972344087618,0.00813275980026958,0.00112631521589891,0,0,0,0,0.02,0.363953789837834,0.935851496543785
TCGA-VS-A958-01A-11R-A42T-07,0,0.015927637070622,0.695974008442012,0.105339472346191,0,0.012891290569966,0.0145794618187628,0.0297063483416598,0,0,0.0216986208087429,0.0139616450801234,0.00248313768335896,0,0.0346204636207747,0.0291286898629905,0.00984210724649526,0.00619618633927548,0,0,0,0.00765093076902523,0,0.867621252164345,0.589916369038946
TCGA-C5-A8XI-01A-11R-A37O-07,0.00494290705848339,0,0.452913117257885,0.085598549006499,0,0.0661342609588609,0.00679882763115805,0.0787337770034717,0,0,0.0442298858579551,0.0227612430789804,0.021776414284256,0.0342713610404824,0.0675585092469352,0,0,0.0831789878301929,0.0177683461973884,0,0,0.0133338135474517,0,0.626352768372718,0.795430711742923
TCGA-EA-A3HU-01A-11R-A213-07,0,0.0162763596280256,0.526241025231168,0.064845315761194,0,0.0370204018046354,0.0496018955421529,0.0279455802255774,0,0,0.112792619820783,0,0,0,0.110178215452523,0.0429052834853968,0.00103347395071788,0,0.0107719890681425,0,0,0.000387840029683236,0,0.838103550114636,0.637831400926537
TCGA-VS-A954-01A-11R-A38B-07,0,0,0.676237255840067,0,0,0.0602562856789105,0,0.0486583736702377,0.00653561667890075,0.00783193764955971,0.00374638135385353,0.00958143821980168,0,0,0.0335741903975608,0.0943003453066991,0,0.0100786035700095,0.0358516707794988,0,0,0.0133479008549013,0,0.721034941892901,0.724124942499626
TCGA-VS-A9UI-01A-11R-A42T-07,0,0.025852116815611,0.173415253326348,0.0471278444120148,0,0.210092968997288,0,0.0562933990131312,0.0697535487046525,0,0.0682211255664896,0.00386232471398359,0,0,0.0970895020678628,0.0771938471963823,0.0125962393273489,0.0458264177393381,0.057163295629646,0,0,0.0555121164899027,0.05,0.252970593809687,0.98265009078203
TCGA-MA-AA3X-01A-22R-A42S-07,0,0.0444998193227479,0.114859394011852,0.035951497884001,0,0,0,0.028841348122225,0.0307959163204146,0,0.0136480806243525,0.00986924872428128,0,0.312725900818561,0.0137508547152882,0.190522241281906,0,0.168282812492049,0.0255355267072251,0,0,0.0107173589750968,0.02,0.337353859716966,0.956326932345484
TCGA-EK-A2RC-01A-11R-A18M-07,0,0.00435477855434281,0.556859303616422,0.112766446497945,0,0.0772524144066396,0.0121343196234857,0.01360514716645,0.0162753296190089,0,0.0395239638306199,0,0,0,0.0300804138291257,0.0791285514676936,0.00262546635870847,0.0323897368380501,0,0,0,0.0230041281915088,0,0.793266576405482,0.685798619035933
TCGA-EK-A2RK-01A-11R-A18M-07,0,0.0673436901840124,0.103573748876012,0.00825253485254228,0,0.109759179480348,0.0425395531370779,0.0697106356948339,0,0,0.0789337036341232,0,0.0147755123914092,0.0237829588793364,0.341390394305358,0.018578409630913,0.0766241366988466,0,0.0341407841140488,0,0,0.0105947581211385,0,0.658586116083745,0.753568655324102
