"Gene","log2FC","pvalue","padj","baseMean"
"CA5BP1",0.180962936901419,0.112107997658734,0.194178483370894,179.123225862778
"AC073115.1",-0.668608331822043,0.112139937777489,0.194222551714739,1.40116889102319
"ESAM",-0.233434261695593,0.112213662987284,0.194327722264984,1065.55800306906
"CCDC151",-0.434853395410643,0.112211805642004,0.194327722264984,22.5372458224761
"RSPO3",0.478481076900693,0.112236328360151,0.194344455039196,70.5458292784199
"VSIG10L2",-0.857572173356485,0.112231695879474,0.194344455039196,2.9699253643868
"AC079089.1",0.553927746225923,0.112274578320885,0.194399426272469,4.08492124224644
"RPS10P9",-0.303641808074517,0.112360473752021,0.194527134579277,12.2617921258226
"TPRG1LP1",-0.700508748540172,0.112361351051981,0.194527134579277,3.03039866528133
"AC012363.1",-1.02906809223108,0.112381214604369,0.194550255803198,2.88120171423381
"LINC01771",-0.581406482125726,0.112450283406157,0.194658551747558,1.89867415036592
"ST3GAL5",-0.273306286919172,0.112483942802814,0.194705542779647,698.37050679157
"LACTB2",0.213131078867549,0.112495932919592,0.194715021820061,431.992059032461
"KRT39",0.894559501256717,0.112521053884489,0.194747226142964,3.36585830199336
"KCNMB4",-0.452465804970586,0.112534545382594,0.194759300056537,191.025339937322
"SIAH3",0.767485206703102,0.112548571490334,0.194761022287198,5.65226152063326
"AC006480.2",0.381296951076339,0.112543794606335,0.194761022287198,6.73521187986757
"AC022211.1",-0.360989218638732,0.112581011341994,0.19480588081244,8.54067399896861
"AP005264.4",-0.387609767542381,0.112590742874691,0.194811442811431,33.2647178538109
"MRPL46",0.167954919314167,0.112631053635649,0.194869911169579,70.1123555335429
"AC015871.4",0.834099450026172,0.112769729714177,0.195098550793853,1.32040627454979
"HOXC-AS2",-0.343913353981837,0.112790087449268,0.195122477807369,33.2618078241279
"ANK1",-0.463633360544268,0.112812712416367,0.195139031280021,645.190847426501
"SCOC",-0.17260151201265,0.11280779187643,0.195139031280021,2835.49327780676
"AL160272.1",0.428377771663947,0.112833124794768,0.19516304631207,6.85170418613207
"KHSRP",0.128198718947587,0.112884591711391,0.195225435886495,12764.5982708479
"PHOSPHO1",0.386252762828458,0.11288358302297,0.195225435886495,58.4519802459252
"LINC02064",1.37904239798468,0.112895319307304,0.195225435886495,0.705775911860384
"ATP1B3P1",-0.413707707855051,0.112889084774897,0.195225435886495,6.87558104616261
"AL121949.1",-1.11190731504987,0.112926141364109,0.195258796541746,5.5579468820767
"AC022367.1",1.49498836731537,0.112927675452084,0.195258796541746,1.15734041502725
"CD74",0.389673035422947,0.112978868921015,0.195336014216379,108480.368313319
"ATP5ME",-0.290991210990092,0.112986732903893,0.195338312317129,291.058548003225
"NECTIN1",-0.221380724956144,0.113063619625878,0.195444162768739,34423.3352857241
"LDHBP2",-0.548451088736841,0.11306757348989,0.195444162768739,2.31119869592919
"AC015631.1",0.840233436817315,0.113061620994083,0.195444162768739,1.30068028080315
"LACC1",0.241691281469448,0.113099095041508,0.195476042149798,571.569958082869
"AL592295.1",0.314962255180429,0.113095090151015,0.195476042149798,9.96237064889877
"LINC02668",-0.57878775223508,0.113106397755076,0.195477361337577,2.43687089599976
"FLT1",-0.242671888127952,0.113142590727038,0.195528607389295,2251.22794640766
"DBN1",-0.23148592762601,0.113152211262612,0.195533928723668,5211.30493987514
"AC007014.1",0.835955465984834,0.113166495729237,0.195547308534502,1.27442544820059
"EPB41L3",-0.335333783774898,0.113189510815818,0.195575772098638,1242.44247490377
"COPS3",0.146445882577456,0.113217610834983,0.195613017922624,3992.26915333942
"AL513485.1",0.736932709960509,0.113224553459726,0.195613706624559,4.36899268197235
"AC040162.1",0.25982341134153,0.11325856575429,0.195661159771556,34.1524712063691
"TMEM254",-0.213404874854036,0.113271167614584,0.195671621725332,1219.22275634794
"E4F1",0.122054948181809,0.113306138017634,0.195720721041498,1390.34413104838
"LINC02209",1.20815701861932,0.113315473464682,0.195725536392365,0.71198392225338
"MCRS1",0.104473764295936,0.113382983305919,0.19583082781421,3006.21900816155
"AL359813.1",-0.517898973174983,0.11339077187398,0.195832964690143,26.6845222969493
"CR1",0.559359278914379,0.113422784199778,0.195876934848908,113.730821646838
"TMEM9B",-0.138972108376663,0.113472170922737,0.195950903132436,3058.03184359038
"AC093583.1",0.529497087606486,0.11347891495143,0.195951229029411,4.76860140733464
"HGD",0.627041812894981,0.113489886582367,0.19595885453559,8.54361953486683
"RPL12P14",-0.391604848306559,0.113588927553908,0.196118536500978,9.63783992630333
"TRBV28",0.589298424350374,0.113633172567165,0.196183596764335,24.9831537987181
"PPDPFL",1.25676701283399,0.113648515316035,0.196187423182427,18.3645642787474
"AL358232.2",0.697906215324795,0.113647568927483,0.196187423182427,1.63111003434594
"COL22A1",0.614138043563921,0.113733920264305,0.196323517037628,1379.80785585997
"KLHL9",0.219687532858022,0.113764031130599,0.196353768259203,1894.0478888964
"LINC01133",0.546254473040741,0.11376458291453,0.196353768259203,709.326852810555
"SLC8B1",-0.140073081710036,0.113808685628182,0.196418546812795,2547.97352019903
"PLVAP",-0.237735794113047,0.113828898180634,0.196442089048872,5524.14973857483
"SNRPF",-0.184427545632005,0.113849338987534,0.196454681118477,2591.59840049671
"AC188617.1",0.512449215316084,0.113845805555975,0.196454681118477,9.30818984754896
"TRPC3",0.346229637082042,0.113859979552952,0.196461701038838,13.4493794325685
"KIAA2026",0.216795730501613,0.113880411114127,0.196475945030833,1838.28423515696
"TMSB4XP2",0.445183573219992,0.113881380422996,0.196475945030833,3.65394451532406
"NDUFB3",-0.180855525176791,0.113901153477863,0.196487377640828,1660.2466941992
"OSMR-AS1",0.295688267334248,0.113898709048143,0.196487377640828,41.9865053755919
"RPS12P4",0.583935895455944,0.113910468637064,0.196492107363329,2.12611531477789
"CDH26",0.498143403580986,0.113924781049148,0.196505456152402,291.423994266031
"ELOA-AS1",0.215065123756408,0.113936199528091,0.196513812030102,27.2137416345271
"IGHJ3",0.754014380208659,0.1139847935556,0.196586282538887,69.0677918232397
"DHCR24",-0.241557371098798,0.114019789564005,0.196635293927608,30914.2316341487
"Y_RNA",0.530507840444855,0.1140459320873,0.19666903207301,1.8340984054287
"SERTAD2",0.196806803586329,0.114067040341131,0.196694085369315,5433.34312797943
"CNTROB",0.142740326270247,0.114109289313404,0.196755588149301,2158.6985293996
"IGHV1OR15-2",0.846581377129663,0.11414947865458,0.196813532672476,59.6464903238971
"AC127024.8",0.378488168020586,0.114160338891929,0.196820904957754,4.87556082525445
"MEGF9",-0.241549806868102,0.114195036976808,0.196858018760712,2513.36673773012
"CHD5",0.524629874026492,0.114194159612322,0.196858018760712,12.6114672054416
"RPSAP12",0.30703848200929,0.114213374580228,0.196878276509554,19.7136889947959
"NMI",-0.215266404878206,0.114278453296164,0.196975712180351,2195.19754700206
"ATP5MC1",-0.194067635314673,0.114283078293317,0.196975712180351,3513.41038355979
"PUDP",-0.217400083853191,0.114316326516586,0.197021657762557,1084.82691648513
"RPSAP54",0.281560892505213,0.114327689099595,0.197029880805137,19.8696857842167
"EPB41L2",0.285433300201393,0.114358172662248,0.197068629827867,2473.1933707494
"AP001542.3",-0.31360246318164,0.114363358812525,0.197068629827867,133.788594073718
"PIK3C2B",0.208648391731183,0.114424271960809,0.197162228352116,1795.65924985001
"ADAT1",-0.14248821544953,0.114432603453902,0.197165218885471,1185.41194316377
"AC127537.1",0.279850835625016,0.114469759726093,0.197217870762673,5.9096445346936
