"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"LINC01962","ENSG00000248473.2","Upregulated",4.50071500355734,1.44803264487243,3.30497922985288e-08,5.42219753780254e-07
"FOLR1","ENSG00000110195.14","Downregulated",132.128358877388,-2.70398217264455,3.30807763691289e-08,5.42430371489852e-07
"IL2RG","ENSG00000147168.13","Upregulated",554.585101078666,1.27585406547299,3.39486230658035e-08,5.55441839454296e-07
"AL049649.1","ENSG00000230990.2","Downregulated",17.2628137218525,-2.4745635617144,3.40140443317918e-08,5.56207775254879e-07
"P3H3","ENSG00000110811.20","Downregulated",1440.23658535324,-1.31447023291576,3.46608208795156e-08,5.66164621710645e-07
"LORICRIN","ENSG00000203782.6","Downregulated",207.871326397308,-3.34150213449567,3.48473028726597e-08,5.6858928901176e-07
"SCN2A","ENSG00000136531.18","Downregulated",156.867656724832,-2.6958810266365,3.4887231343575e-08,5.689302342183e-07
"AC012174.1","ENSG00000260115.1","Downregulated",5.71696907375675,-2.9030532717995,3.51376737325598e-08,5.72389832813993e-07
"AP001037.1","ENSG00000287470.1","Downregulated",7.94408219949874,-1.76432097318016,3.52339096058711e-08,5.73644894302123e-07
"AC090204.1","ENSG00000247134.7","Downregulated",67.5738572610496,-1.8492495815372,3.57365129838169e-08,5.81197335194667e-07
"AL031736.1","ENSG00000227777.1","Downregulated",17.2190155539183,-2.05867840523463,3.58627327551753e-08,5.82930292288037e-07
"NBEAP1","ENSG00000258590.5","Downregulated",35.5624335310951,-2.57563769675164,3.60046406303892e-08,5.8491886832804e-07
"LINC02870","ENSG00000180066.10","Downregulated",88.9266810374149,-1.460568700771,3.64457859419123e-08,5.9035891143751e-07
"LINC01436","ENSG00000231106.2","Downregulated",66.0689602075517,-2.03031796088186,3.6458000485536e-08,5.9035891143751e-07
"BTBD11","ENSG00000151136.15","Downregulated",2055.74564551404,-1.1353844888085,3.70913424243516e-08,5.99964506357532e-07
"JAK3","ENSG00000105639.20","Upregulated",1082.85784451146,1.09050470664282,3.74226618610474e-08,6.04669301811042e-07
"KIF25","ENSG00000125337.19","Upregulated",17.1048757149865,2.2644744221284,3.81012876335452e-08,6.1463771718399e-07
"AC110995.1","ENSG00000236120.7","Downregulated",128.827036906969,-2.22294673317326,3.82231580622653e-08,6.15938889917647e-07
"CALHM5","ENSG00000178033.6","Downregulated",517.092930220102,-1.24251678115125,3.83490167025041e-08,6.17634055641839e-07
"PRRG3","ENSG00000130032.17","Upregulated",80.071196268189,2.20009787975604,3.84225335840784e-08,6.18484854009301e-07
"LINC01179","ENSG00000249500.1","Downregulated",10.8551375479303,-3.18307107286636,3.8707093401997e-08,6.22395070453198e-07
"NPR2","ENSG00000159899.15","Downregulated",453.935664197611,-1.53458517848337,3.88102471805307e-08,6.23718230494852e-07
"TJP3","ENSG00000105289.15","Upregulated",495.059832474529,1.91539531587338,3.96434159533896e-08,6.36423732373105e-07
"DNAH1","ENSG00000114841.17","Upregulated",207.530915497409,1.05723052400534,3.97759771625581e-08,6.38209076405361e-07
"FOXA2","ENSG00000125798.15","Downregulated",42.4423021557156,-2.70325228456223,3.97976256330852e-08,6.38213854841299e-07
"GPR149","ENSG00000174948.6","Downregulated",30.8070609487135,-4.47150847166002,4.04820102077349e-08,6.47798848570456e-07
"CYCSP10","ENSG00000232901.1","Upregulated",3.4866905826747,1.22589858525913,4.07761931329826e-08,6.52157284714347e-07
"ADAM28","ENSG00000042980.13","Upregulated",585.649870628824,1.58890618613232,4.10025947739964e-08,6.54028582168783e-07
"AC099506.1","ENSG00000260862.1","Downregulated",4.2698968608522,-2.40732018787005,4.1511991013598e-08,6.61800765535184e-07
"ZNF667-AS1","ENSG00000166770.11","Upregulated",110.244298413827,1.42466026159728,4.18001910564348e-08,6.66040144487713e-07
"RHOXF1-AS1","ENSG00000258545.6","Upregulated",97.8200726797592,2.45490547157815,4.22725141268496e-08,6.72848771181995e-07
"CCBE1","ENSG00000183287.14","Downregulated",223.959450478115,-1.9506657568716,4.23880520479035e-08,6.74328713047329e-07
"COL4A3","ENSG00000169031.20","Upregulated",65.9091719615185,1.79627957164942,4.24275218959807e-08,6.74597598146093e-07
"ADCY6","ENSG00000174233.11","Upregulated",833.537354410209,1.00876501089039,4.26627635414367e-08,6.77977314077951e-07
"CRIP3","ENSG00000146215.14","Upregulated",3.61369014916202,1.76723467701114,4.31583487586555e-08,6.85488502175203e-07
"AL022724.3","ENSG00000287593.1","Upregulated",29.6858908275098,1.78052254347245,4.33611473584697e-08,6.88067679255803e-07
"PTOV1-AS2","ENSG00000269352.1","Upregulated",29.3778680814298,1.08155911813071,4.34013447850603e-08,6.88250927488076e-07
"AC114489.1","ENSG00000224409.1","Downregulated",19.9308929712548,-1.61536859222711,4.36734577923956e-08,6.91832008654102e-07
"SLC5A10","ENSG00000154025.16","Downregulated",65.0032755202785,-1.65608462350152,4.37756614749768e-08,6.930837250053e-07
"CDHR1","ENSG00000148600.15","Downregulated",1705.34132193558,-1.62900735209922,4.38626480231606e-08,6.94093316415202e-07
"TSPOAP1-AS1","ENSG00000265148.6","Upregulated",44.9639004067025,1.07981188059175,4.48674424551912e-08,7.09617772418294e-07
"OR6C70","ENSG00000184954.4","Downregulated",5.27264876606909,-3.97080599955109,4.52759569778318e-08,7.15321831914032e-07
