"Gene","Ensembl_ID","Direction","BaseMean","log2FC","Pvalue","FDR"
"SLCO4C1","ENSG00000173930.9","Higher in HPV-positive",101.09,2.557,1.22e-08,2.28e-07
"RYR1","ENSG00000196218.13","Higher in HPV-positive",3814.95,1.601,1.23e-08,2.28e-07
"AL359853.1","ENSG00000229407.5","Higher in HPV-positive",2.27,2.45,1.24e-08,2.31e-07
"LAMC2","ENSG00000058085.15","Higher in HPV-negative",97806.02,-1.482,1.25e-08,2.32e-07
"DIRAS2","ENSG00000165023.7","Higher in HPV-negative",63.44,-3.048,1.26e-08,2.33e-07
"CASP14","ENSG00000105141.6","Higher in HPV-negative",5099.32,-2.919,1.27e-08,2.34e-07
"CLEC11A","ENSG00000105472.13","Higher in HPV-negative",749.63,-1.286,1.27e-08,2.36e-07
"AC121757.1","ENSG00000257829.1","Higher in HPV-positive",15.59,1.843,1.28e-08,2.36e-07
"RYR3","ENSG00000198838.14","Higher in HPV-positive",295.94,1.808,1.29e-08,2.38e-07
"MAK","ENSG00000111837.12","Higher in HPV-positive",26.65,1.263,1.29e-08,2.38e-07
"TLN2","ENSG00000171914.16","Higher in HPV-negative",1087.33,-1.074,1.3e-08,2.39e-07
"PLPP4","ENSG00000203805.11","Higher in HPV-negative",298.28,-1.93,1.31e-08,2.42e-07
"CHCHD2P7","ENSG00000249973.2","Higher in HPV-negative",1.99,-3.158,1.31e-08,2.42e-07
"OLFM1","ENSG00000130558.20","Higher in HPV-positive",1991.19,1.927,1.32e-08,2.42e-07
"AL365226.1","ENSG00000237643.2","Higher in HPV-negative",8.63,-2.412,1.32e-08,2.42e-07
"PDE6A","ENSG00000132915.11","Higher in HPV-positive",18.11,1.677,1.33e-08,2.44e-07
"OR10Y1P","ENSG00000254403.1","Higher in HPV-negative",3.45,-3.263,1.34e-08,2.45e-07
"SOX11","ENSG00000176887.7","Higher in HPV-negative",150.02,-1.787,1.36e-08,2.49e-07
"AC018558.7","ENSG00000287448.1","Higher in HPV-negative",4.27,-4.379,1.38e-08,2.52e-07
"FAP","ENSG00000078098.14","Higher in HPV-negative",1508.56,-1.464,1.38e-08,2.53e-07
"POU5F1B","ENSG00000212993.5","Higher in HPV-negative",18.71,-1.277,1.39e-08,2.54e-07
